timestamp,add-chain,add-pre-chain,get-entries,get-proof-by-hash,get-roots,get-sth,get-sth-consistency
1779327480,100.0000,100.0000,100.0000,100.0000,100.0000,100.0000,100.0000
1779331080,100.0000,100.0000,100.0000,100.0000,100.0000,100.0000,100.0000
1779340680,100.0000,100.0000,100.0000,100.0000,100.0000,100.0000,100.0000
1779343680,100.0000,100.0000,100.0000,100.0000,100.0000,100.0000,100.0000
1779353880,100.0000,100.0000,100.0000,100.0000,100.0000,100.0000,100.0000
1779368880,100.0000,100.0000,100.0000,100.0000,100.0000,100.0000,100.0000
1779373680,100.0000,100.0000,100.0000,100.0000,100.0000,100.0000,100.0000
1779377880,100.0000,100.0000,100.0000,100.0000,100.0000,100.0000,100.0000
1779386880,100.0000,100.0000,100.0000,100.0000,100.0000,100.0000,100.0000
1779390480,100.0000,100.0000,100.0000,100.0000,100.0000,100.0000,100.0000
1779398880,100.0000,100.0000,100.0000,100.0000,100.0000,100.0000,100.0000
1779405480,100.0000,100.0000,100.0000,100.0000,100.0000,100.0000,100.0000
1779424080,100.0000,100.0000,100.0000,100.0000,100.0000,100.0000,100.0000
1779437280,100.0000,100.0000,100.0000,100.0000,100.0000,100.0000,100.0000
1779448680,100.0000,100.0000,100.0000,100.0000,100.0000,100.0000,100.0000
1779460680,100.0000,100.0000,100.0000,100.0000,100.0000,100.0000,100.0000
1779468480,100.0000,100.0000,100.0000,100.0000,100.0000,100.0000,99.2647
1779475680,100.0000,100.0000,100.0000,100.0000,100.0000,100.0000,99.2647
1779478680,100.0000,100.0000,100.0000,100.0000,100.0000,100.0000,99.2481
1779488880,100.0000,100.0000,100.0000,100.0000,100.0000,100.0000,99.2481
1779506280,100.0000,100.0000,100.0000,100.0000,100.0000,100.0000,95.4545
1779515880,100.0000,100.0000,100.0000,100.0000,100.0000,100.0000,94.6970
1779521880,100.0000,100.0000,100.0000,100.0000,100.0000,100.0000,93.9394
1779528480,100.0000,100.0000,100.0000,100.0000,100.0000,100.0000,93.1818
1779544680,100.0000,100.0000,100.0000,100.0000,100.0000,100.0000,91.6667
1779554280,100.0000,100.0000,100.0000,100.0000,100.0000,100.0000,90.1515
1779557280,100.0000,100.0000,100.0000,100.0000,100.0000,100.0000,89.3939
1779560280,100.0000,100.0000,100.0000,100.0000,100.0000,100.0000,89.5522
1779572280,100.0000,100.0000,100.0000,100.0000,100.0000,100.0000,88.7218
1779575280,100.0000,100.0000,100.0000,100.0000,100.0000,100.0000,87.9699
1779581280,100.0000,100.0000,100.0000,100.0000,100.0000,100.0000,88.1481
1779596280,100.0000,100.0000,100.0000,100.0000,100.0000,100.0000,88.9706
1779608280,100.0000,100.0000,100.0000,100.0000,100.0000,100.0000,88.9706
1779614280,100.0000,100.0000,100.0000,100.0000,100.0000,100.0000,88.2353
1779620280,100.0000,100.0000,100.0000,100.0000,100.0000,100.0000,84.6715
1779628080,100.0000,100.0000,100.0000,100.0000,100.0000,100.0000,80.5755
1779635280,100.0000,100.0000,100.0000,100.0000,100.0000,100.0000,82.7338
1779638280,100.0000,100.0000,100.0000,100.0000,100.0000,100.0000,83.4532
1779644280,100.0000,100.0000,100.0000,100.0000,100.0000,100.0000,83.4532
1779650880,100.0000,100.0000,100.0000,100.0000,100.0000,100.0000,83.8028
1779653880,100.0000,100.0000,100.0000,100.0000,100.0000,100.0000,83.4532
1779657480,100.0000,100.0000,100.0000,100.0000,100.0000,100.0000,84.8921
1779661080,100.0000,100.0000,100.0000,100.0000,100.0000,100.0000,85.0000
1779670080,100.0000,100.0000,100.0000,100.0000,100.0000,100.0000,84.8921
1779682080,100.0000,100.0000,100.0000,100.0000,100.0000,100.0000,87.8571
1779701280,100.0000,100.0000,100.0000,100.0000,100.0000,100.0000,92.7007
1779712680,100.0000,100.0000,100.0000,100.0000,100.0000,100.0000,100.0000
1779723480,100.0000,100.0000,100.0000,100.0000,100.0000,100.0000,100.0000
1779732480,100.0000,100.0000,100.0000,100.0000,100.0000,100.0000,100.0000
1779739680,100.0000,100.0000,100.0000,100.0000,100.0000,100.0000,100.0000
1779746880,100.0000,100.0000,100.0000,100.0000,100.0000,100.0000,100.0000
